Date,Time,Away Team,Home Team,Channel
11/21/2025,8:00 PM,Gardner-Webb,UNC Greensboro,ESPN+
11/21/2025,8:00 PM,Stillman,Samford,ESPN+
11/21/2025,8:00 PM,Florida A&M,UCF,ESPN+
11/21/2025,8:30 PM,Arkansas Baptist,Northwestern State,ESPN+
11/21/2025,8:30 PM,Cleveland State,Northwestern,B1G+
11/21/2025,9:00 PM,Michigan,UConn,FOX
11/21/2025,9:00 PM,Northern Arizona,Arizona,ESPN+
11/21/2025,10:00 PM,Southern Utah,Cal Poly,ESPN+
11/21/2025,9:30 PM,Cal State Fullerton,Sacramento State,ESPN+
11/22/2025,1:00 PM,South Carolina Upstate,Morehead State,ESPN+
11/22/2025,1:00 PM,Boston College,UMass,ESPN+
11/22/2025,2:00 PM,Princeton,Penn State,TV data unavailable
11/22/2025,2:00 PM,Robert Morris,Pittsburgh,ACCNX
11/22/2025,2:00 PM,Albany,St. Bonaventure,ESPN+
11/22/2025,2:00 PM,Drexel,NJIT,ESPN+
11/22/2025,2:00 PM,American University,La Salle,ESPN+
11/22/2025,2:00 PM,Eastern Illinois,Central Michigan,ESPN+
11/22/2025,2:00 PM,Sacred Heart,Northeastern,FloHoops
11/22/2025,3:00 PM,Kentucky,Louisville,CW
11/22/2025,3:00 PM,Wofford,Charlotte,ESPN+
11/22/2025,3:00 PM,Kansas State,Green Bay,ESPN+
11/22/2025,3:00 PM,Air Force,UC San Diego,ESPN+
11/22/2025,3:00 PM,Appalachian State,UNC Asheville,ESPN+
11/22/2025,3:00 PM,Florida International,Jacksonville,ESPN+
11/22/2025,3:00 PM,UMass Lowell,Boston University,ESPN+
11/22/2025,3:00 PM,East Texas A&M,SE Louisiana,ESPN+
11/22/2025,3:00 PM,Niagara,Radford,ESPN+
11/22/2025,3:00 PM,Northern Kentucky,Chattanooga,ESPN+
11/22/2025,3:00 PM,Bucknell,Hofstra,FloHoops
11/22/2025,4:00 PM,ETSU,Memphis,ESPN+
11/22/2025,4:00 PM,Jacksonville State,New Orleans,ESPN+
11/22/2025,4:00 PM,Loyola Chicago,UIC,ESPN+
11/22/2025,4:00 PM,UAB,Murray State,ESPN+
11/22/2025,4:00 PM,Cal State Bakersfield,Wichita State,ESPN+
11/22/2025,4:00 PM,East Tennessee State,Memphis,ESPN+
11/22/2025,4:00 PM,Missouri State,Tulsa,ESPN+
11/22/2025,4:00 PM,Nicholls,Southern Miss,ESPN+
11/22/2025,5:00 PM,UNLV,Arizona State,ESPN+
11/22/2025,5:00 PM,Weber State,BYU,ESPN+
11/22/2025,6:00 PM,Westcliff,UC Santa Barbara,ESPN+
11/22/2025,6:30 PM,Davidson,Baylor,ESPN+
11/22/2025,8:00 PM,North Texas,SMU,ACCNX
11/22/2025,8:00 PM,Temple,Villanova,ESPN+
11/22/2025,8:00 PM,West Alabama,North Alabama,ESPN+
11/22/2025,9:00 PM,Miami,Iowa,ESPN+
11/22/2025,10:00 PM,Colorado,UT Arlington,BallerTV
11/22/2025,10:00 PM,Portland State,Utah Tech,ESPN+
11/23/2025,1:00 PM,Syracuse,Michigan,FS1
11/23/2025,1:00 PM,Maine,Brown,ESPN+
11/23/2025,1:30 PM,Miami-OH,Purdue,BTN
11/23/2025,2:00 PM,Western Carolina,Wake Forest,ACCNX
11/23/2025,2:00 PM,Loyola Maryland,Yale,ESPN+
11/23/2025,3:00 PM,Queens University,South Carolina,SECN+
11/23/2025,3:00 PM,Rhode Island,NC State,ACCNX
